year,state,month,number
1998,Acre,Jan,0
1999,Acre,Jan,0
2000,Acre,Jan,0
2001,Acre,Jan,0
2002,Acre,Jan,0
2003,Acre,Jan,10
2004,Acre,Jan,0
2005,Acre,Jan,12
2006,Acre,Jan,4
2007,Acre,Jan,0
2008,Acre,Jan,0
2009,Acre,Jan,0
2010,Acre,Jan,1
2011,Acre,Jan,0
2012,Acre,Jan,0
2013,Acre,Jan,0
2014,Acre,Jan,0
2015,Acre,Jan,1
2016,Acre,Jan,12
2017,Acre,Jan,0
1998,Acre,Feb,0
1999,Acre,Feb,0
2000,Acre,Feb,0
2001,Acre,Feb,0
2002,Acre,Feb,1
2003,Acre,Feb,0
2004,Acre,Feb,3
2005,Acre,Feb,0
2006,Acre,Feb,0
2007,Acre,Feb,5
2008,Acre,Feb,0
2009,Acre,Feb,2
2010,Acre,Feb,0
2011,Acre,Feb,0
2012,Acre,Feb,0
2013,Acre,Feb,0
2014,Acre,Feb,0
2015,Acre,Feb,2
2016,Acre,Feb,5
2017,Acre,Feb,1
1998,Acre,Mar,0
1999,Acre,Mar,0
2000,Acre,Mar,11
2001,Acre,Mar,0
2002,Acre,Mar,0
2003,Acre,Mar,0
2004,Acre,Mar,0
2005,Acre,Mar,3
2006,Acre,Mar,0
2007,Acre,Mar,2
2008,Acre,Mar,0
2009,Acre,Mar,1
2010,Acre,Mar,0
2011,Acre,Mar,0
2012,Acre,Mar,1
2013,Acre,Mar,2
2014,Acre,Mar,1
2015,Acre,Mar,2
2016,Acre,Mar,0
2017,Acre,Mar,0
1998,Acre,Apr,0
1999,Acre,Apr,0
2000,Acre,Apr,1
2001,Acre,Apr,0
2002,Acre,Apr,0
2003,Acre,Apr,1
2004,Acre,Apr,2
2005,Acre,Apr,1
2006,Acre,Apr,0
2007,Acre,Apr,0
2008,Acre,Apr,0
2009,Acre,Apr,0
2010,Acre,Apr,3
2011,Acre,Apr,2
2012,Acre,Apr,1
2013,Acre,Apr,19
2014,Acre,Apr,7
2015,Acre,Apr,3
2016,Acre,Apr,0
2017,Acre,Apr,1
1998,Acre,May,0
1999,Acre,May,0
2000,Acre,May,1
2001,Acre,May,0
2002,Acre,May,0
2003,Acre,May,6
2004,Acre,May,7
2005,Acre,May,2
2006,Acre,May,8
2007,Acre,May,1
2008,Acre,May,0
2009,Acre,May,3
2010,Acre,May,9
2011,Acre,May,3
2012,Acre,May,3
2013,Acre,May,4
2014,Acre,May,1
2015,Acre,May,2
2016,Acre,May,21
2017,Acre,May,10
1998,Acre,Jun,3
1999,Acre,Jun,0
2000,Acre,Jun,1
2001,Acre,Jun,1
2002,Acre,Jun,0
2003,Acre,Jun,0
2004,Acre,Jun,5
2005,Acre,Jun,27
2006,Acre,Jun,1
2007,Acre,Jun,4
2008,Acre,Jun,0
2009,Acre,Jun,0
2010,Acre,Jun,1
2011,Acre,Jun,10
2012,Acre,Jun,7
2013,Acre,Jun,8
2014,Acre,Jun,17
2015,Acre,Jun,40
2016,Acre,Jun,87
2017,Acre,Jun,45
1998,Acre,Jul,37
1999,Acre,Jul,1
2000,Acre,Jul,1
2001,Acre,Jul,3
2002,Acre,Jul,39
2003,Acre,Jul,168
2004,Acre,Jul,42
2005,Acre,Jul,368
2006,Acre,Jul,33
2007,Acre,Jul,29
2008,Acre,Jul,41
2009,Acre,Jul,31
2010,Acre,Jul,126
2011,Acre,Jul,93
2012,Acre,Jul,71
2013,Acre,Jul,54
2014,Acre,Jul,60
2015,Acre,Jul,109
2016,Acre,Jul,533
2017,Acre,Jul,457
1998,Acre,Aug,130
1999,Acre,Aug,63
2000,Acre,Aug,136
2001,Acre,Aug,396
2002,Acre,Aug,728
2003,Acre,Aug,1976
2004,Acre,Aug,645
2005,Acre,Aug,4198
2006,Acre,Aug,839
2007,Acre,Aug,960
2008,Acre,Aug,445
2009,Acre,Aug,194
2010,Acre,Aug,1682
2011,Acre,Aug,425
2012,Acre,Aug,739
2013,Acre,Aug,679
2014,Acre,Aug,1100
2015,Acre,Aug,1397
2016,Acre,Aug,2188
2017,Acre,Aug,1493
1998,Acre,Sep,509
1999,Acre,Sep,209
2000,Acre,Sep,265
2001,Acre,Sep,290
2002,Acre,Sep,1949
2003,Acre,Sep,3942
2004,Acre,Sep,1978
2005,Acre,Sep,4253
2006,Acre,Sep,2370
2007,Acre,Sep,2080
2008,Acre,Sep,1666
2009,Acre,Sep,1265
2010,Acre,Sep,2531
2011,Acre,Sep,1204
2012,Acre,Sep,1996
2013,Acre,Sep,2136
2014,Acre,Sep,2175
2015,Acre,Sep,2928
2016,Acre,Sep,3586
2017,Acre,Sep,3429
1998,Acre,Oct,44
1999,Acre,Oct,60
2000,Acre,Oct,18
2001,Acre,Oct,137
2002,Acre,Oct,687
2003,Acre,Oct,740
2004,Acre,Oct,461
2005,Acre,Oct,547
2006,Acre,Oct,316
2007,Acre,Oct,203
2008,Acre,Oct,652
2009,Acre,Oct,565
2010,Acre,Oct,292
2011,Acre,Oct,97
2012,Acre,Oct,348
2013,Acre,Oct,258
2014,Acre,Oct,406
2015,Acre,Oct,905
2016,Acre,Oct,509
2017,Acre,Oct,1508
1998,Acre,Nov,0
1999,Acre,Nov,0
2000,Acre,Nov,0
2001,Acre,Nov,1
2002,Acre,Nov,86
2003,Acre,Nov,15
2004,Acre,Nov,10
2005,Acre,Nov,14
2006,Acre,Nov,18
2007,Acre,Nov,7
2008,Acre,Nov,4
2009,Acre,Nov,33
2010,Acre,Nov,39
2011,Acre,Nov,74
2012,Acre,Nov,13
2013,Acre,Nov,79
2014,Acre,Nov,56
2015,Acre,Nov,115
2016,Acre,Nov,46
2017,Acre,Nov,98
1998,Acre,Dec,7
1999,Acre,Dec,0
2000,Acre,Dec,0
2001,Acre,Dec,0
2002,Acre,Dec,1
2003,Acre,Dec,1
2004,Acre,Dec,7
2005,Acre,Dec,2
2006,Acre,Dec,0
2007,Acre,Dec,0
2008,Acre,Dec,0
2009,Acre,Dec,1
2010,Acre,Dec,0
2011,Acre,Dec,4
2012,Acre,Dec,1
2013,Acre,Dec,3
2014,Acre,Dec,6
2015,Acre,Dec,8
2016,Acre,Dec,6
1998,Alagoas,Jan,0
1999,Alagoas,Jan,58
2000,Alagoas,Jan,11
2001,Alagoas,Jan,5
2002,Alagoas,Jan,12
2003,Alagoas,Jan,150
2004,Alagoas,Jan,9
2005,Alagoas,Jan,83
2006,Alagoas,Jan,29
2007,Alagoas,Jan,33
2008,Alagoas,Jan,55
2009,Alagoas,Jan,104
2010,Alagoas,Jan,23
2011,Alagoas,Jan,41
2012,Alagoas,Jan,36
2013,Alagoas,Jan,49
2014,Alagoas,Jan,54
2015,Alagoas,Jan,81
2016,Alagoas,Jan,24
2017,Alagoas,Jan,38
2017,Alagoas,Jan,38
1998,Alagoas,Feb,0
1999,Alagoas,Feb,20
2000,Alagoas,Feb,16
2001,Alagoas,Feb,4
2002,Alagoas,Feb,15
2003,Alagoas,Feb,33
2004,Alagoas,Feb,7
2005,Alagoas,Feb,31
2006,Alagoas,Feb,14
2007,Alagoas,Feb,28
2008,Alagoas,Feb,74
2009,Alagoas,Feb,32
2010,Alagoas,Feb,26
2011,Alagoas,Feb,33
2012,Alagoas,Feb,41
2013,Alagoas,Feb,19
2014,Alagoas,Feb,29
2015,Alagoas,Feb,46
2016,Alagoas,Feb,14
2017,Alagoas,Feb,21
1998,Alagoas,Mar,0
1999,Alagoas,Mar,52
2000,Alagoas,Mar,32
2001,Alagoas,Mar,0
2002,Alagoas,Mar,27
2003,Alagoas,Mar,15
2004,Alagoas,Mar,16
2005,Alagoas,Mar,35
2006,Alagoas,Mar,37
2007,Alagoas,Mar,7
2008,Alagoas,Mar,31
